Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2019136220607,1,1,1,2,60,9,2,0,0,0,0,0,9,1,2
2019136230845,1,1,2,1,19,4,1,0,0,2,0,0,9,1,3
2019136230845,1,2,1,1,32,6,2,0,0,0,0,0,9,1,5
2019136230845,1,3,2,1,21,5,2,0,0,1,0,0,9,1,3
2019136230845,3,4,1,1,39,7,3,0,0,0,0,0,9,1,7
2019136231041,1,1,3,2,44,7,3,5,3,0,0,0,0,1,1
2019136231041,1,2,3,2,21,5,3,5,3,0,0,0,0,1,1
2019136241610,3,1,2,1,35,6,3,0,0,1,0,0,9,1,1
2019136251200,1,1,2,1,25,5,3,0,0,1,0,0,9,-1,-1
2019136260259,1,1,1,1,37,7,3,0,0,0,0,0,19,1,7
2019136260939,2,1,1,2,21,5,3,0,0,0,0,0,19,2,7
2019136261374,1,1,1,1,34,6,2,0,0,0,0,0,5,-1,6
2019136261374,1,2,3,1,49,8,2,4,4,0,0,0,0,1,1
2019136261720,1,1,2,1,17,4,3,0,0,2,0,0,9,2,8
2019136270933,2,1,1,2,35,6,3,0,0,0,0,0,9,-1,-1
2019136271098,1,1,3,2,14,3,3,5,1,0,0,0,0,1,4
2019136290576,2,1,1,2,40,7,3,0,0,0,0,0,9,1,2
2019136291070,1,1,3,2,86,11,2,5,1,0,0,0,0,1,8
2019136291529,2,1,1,1,32,6,3,0,0,0,0,0,9,1,1
20191362B1327,1,1,3,1,6,2,3,5,1,0,0,0,0,1,1
20191362C0379,1,1,1,1,55,8,2,0,0,0,0,0,9,1,1
20191362C0478,1,1,3,2,58,9,3,5,1,0,0,0,0,1,1
20191362D0330,1,1,3,1,13,3,3,10,9,0,0,0,0,1,1
20191362D1902,2,1,1,1,38,7,3,0,0,0,0,0,1,1,1
20191362E1360,2,1,1,2,50,8,3,0,0,0,0,0,9,1,1
20191362E2156,3,1,1,1,47,8,2,0,0,0,0,0,9,1,1
20191362F1133,2,1,2,2,72,10,2,0,0,1,0,0,9,1,4
20191362F1637,1,1,1,1,52,8,3,0,0,0,0,0,1,1,1
20191362G0545,2,1,1,1,37,7,3,0,0,0,0,0,1,1,6
20191362G1224,1,1,1,1,40,7,3,0,0,0,0,0,9,1,4
20191362G1224,1,2,2,2,40,7,3,0,0,1,0,0,9,1,1
20191362G2003,1,1,2,2,80,11,3,0,0,2,0,0,8,1,9
20191362G2083,1,1,2,2,37,7,3,0,0,1,0,0,9,1,4
20191362G2237,2,1,2,2,25,5,3,0,0,1,0,0,9,1,2
20191362G2237,2,2,1,1,26,6,3,0,0,0,0,0,9,1,2
20191362H0216,1,1,1,1,32,6,2,0,0,0,0,0,9,-1,-1
20191362H0216,1,2,2,1,20,4,3,0,0,1,0,0,9,1,3
20191362H0216,1,3,2,2,21,5,2,0,0,2,0,0,9,1,1
20191362H0216,2,4,1,1,20,4,3,0,0,0,0,0,9,-1,-1
