,Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
41544,20191362M0779,415903.0,433409.0,-1.760056,53.796763,13,3,1,1,22/02/2019,6,12:39,200,E08000032,4,6144,6,30,6,4,3,6181,0,0,1,1,1,0,0,1,2,E01033691
41545,20191362M1177,405568.0,441307.0,-1.916814,53.86796,13,3,1,1,22/02/2019,6,13:35,200,E08000032,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,2,E01010719
41549,20191362M1495,415983.0,429940.0,-1.7590189999999999,53.765581999999995,13,2,2,1,22/02/2019,6,17:55,200,E08000032,3,6036,3,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010746
41558,20191362N1705,417447.0,433051.0,-1.736636,53.793496999999995,13,3,3,2,23/02/2019,7,19:34,200,E08000032,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01010606
41566,20191362O0485,415745.0,430244.0,-1.762614,53.76832099999999,13,3,2,1,24/02/2019,1,08:05,200,E08000032,3,641,3,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010745
41573,20191362O1829,407448.0,441491.0,-1.88822,53.869591,13,3,2,1,24/02/2019,1,20:26,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010703
41575,20191362P0747,415790.0,433213.0,-1.761781,53.795005,13,3,1,1,25/02/2019,2,12:40,200,E08000032,6,0,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,E01010834
41577,20191362P1000,406374.0,442085.0,-1.904541,53.874943,13,2,1,1,25/02/2019,2,14:48,200,E08000032,3,650,6,30,0,-1,-1,0,0,8,1,1,1,0,0,1,1,E01010702
41581,20191362P1823,403263.0,435123.0,-1.951929,53.812397999999995,13,2,3,1,25/02/2019,2,20:00,200,E08000032,3,6033,1,30,2,4,4,6141,0,0,4,1,1,0,0,2,1,E01010858
41585,20191362Q0571,416421.0,433116.0,-1.752207,53.794114,13,3,1,1,26/02/2019,3,11:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01033690
41587,20191362Q1330,416388.0,434898.0,-1.752614,53.810131000000005,13,3,1,1,26/02/2019,3,17:00,200,E08000032,3,6177,6,30,0,-1,-1,0,0,5,4,1,1,0,0,1,1,E01010599
41593,20191362R0445,417100.0,433015.0,-1.7419060000000002,53.793184,13,3,2,1,21/02/2019,5,15:50,200,E08000032,6,0,6,30,3,4,3,647,0,0,1,1,1,0,0,1,2,E01010613
41600,20191362R1526,406201.0,440741.0,-1.907199,53.862866000000004,13,3,2,1,27/02/2019,4,18:18,200,E08000032,3,6035,6,30,3,2,6,0,0,4,1,1,1,0,0,1,1,E01010710
41602,20191362R1803,412703.0,430116.0,-1.8087689999999998,53.767253000000004,13,3,2,1,27/02/2019,4,20:10,200,E08000032,4,6147,6,30,9,4,6,0,0,0,4,1,1,0,0,1,1,E01033695
41611,20191362S1988,417215.0,433220.0,-1.7401490000000002,53.795023,13,3,2,3,28/02/2019,5,22:14,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01010606
41613,2019136310287,418374.0,431404.0,-1.722662,53.778662,13,3,1,1,01/03/2019,6,07:50,200,E08000032,3,6177,6,30,6,2,6,0,0,4,1,1,1,0,0,1,1,E01010609
41628,2019136321383,418478.0,434541.0,-1.7208970000000001,53.806853000000004,13,3,2,1,02/03/2019,7,16:50,200,E08000032,6,0,6,30,6,2,6,0,0,4,1,1,2,0,0,1,1,E01010827
41634,2019136330009,415308.0,433820.0,-1.769068,53.800475,13,3,2,1,11/03/2019,2,00:15,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,7,1,1,0,0,1,1,E01010842
41638,2019136340320,410074.0,440842.0,-1.8483060000000002,53.863714,13,3,2,1,04/03/2019,2,08:52,200,E08000032,4,6265,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010765
41639,2019136340425,416196.0,432803.0,-1.755639,53.791307999999994,13,3,1,1,04/03/2019,2,09:50,200,E08000032,3,6181,6,30,5,2,3,6181,2,4,1,4,1,0,0,1,1,E01010834
41646,2019136341295,415100.0,434996.0,-1.7721689999999999,53.811051,13,3,2,1,04/03/2019,2,16:56,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010679
41648,2019136350321,419467.0,437835.0,-1.705673,53.836422999999996,13,2,2,1,05/03/2019,3,08:45,200,E08000032,3,658,6,30,9,4,6,0,0,8,1,2,2,0,0,1,1,E01010683
41656,2019136351636,414547.0,429340.0,-1.780831,53.760231000000005,13,2,1,2,05/03/2019,3,19:38,200,E08000032,6,0,6,30,3,4,3,6036,2,4,4,1,2,0,0,1,1,E01010849
41657,2019136351746,418051.0,438310.0,-1.7271619999999999,53.840743,13,3,3,1,05/03/2019,3,20:25,200,E08000032,3,657,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010685
41658,2019136351813,415994.0,430547.0,-1.758821,53.771037,13,3,1,2,05/03/2019,3,21:05,200,E08000032,6,0,6,30,3,4,3,6177,0,0,7,1,1,0,0,1,1,E01010743
41664,2019136360590,415451.0,439858.0,-1.7665950000000001,53.854739,13,3,1,1,06/03/2019,4,17:00,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01010575
41665,2019136360654,419608.0,438384.0,-1.703496,53.841352,13,3,3,1,06/03/2019,4,12:20,200,E08000032,3,658,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010683
41667,2019136361122,406040.0,441185.0,-1.9096389999999999,53.86685799999999,13,3,2,1,06/03/2019,4,16:00,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010710
41673,2019136361786,415526.0,430055.0,-1.765946,53.766629,13,2,2,1,06/03/2019,4,22:01,200,E08000032,4,6380,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01010747
41688,2019136381026,416291.0,431432.0,-1.7542689999999999,53.77898199999999,13,3,1,1,07/03/2019,5,08:10,200,E08000032,6,0,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,2,E01010737
41691,2019136381491,414892.0,432239.0,-1.7754599999999998,53.786277,13,3,1,1,08/03/2019,6,18:35,200,E08000032,3,6177,6,30,0,-1,-1,0,0,5,4,2,2,0,0,1,1,E01010838
41693,2019136381925,418677.0,432545.0,-1.7179950000000002,53.788906000000004,13,3,2,1,08/03/2019,6,22:30,200,E08000032,3,6177,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01010611
41694,2019136381931,414583.0,434582.0,-1.78004,53.80734399999999,13,3,1,1,08/03/2019,6,19:50,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,5,2,0,0,1,2,E01010807
41696,2019136390437,415810.0,433467.0,-1.761464,53.797287,13,3,2,3,09/03/2019,7,08:51,200,E08000032,4,6144,3,30,6,2,6,0,2,5,1,2,2,0,2,1,1,E01033691
41700,2019136390962,418521.0,432466.0,-1.7203680000000001,53.788202000000005,13,3,2,1,09/03/2019,7,14:10,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01010611
41702,2019136391174,414388.0,437499.0,-1.7828650000000001,53.833567,13,3,2,4,09/03/2019,7,21:15,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010788
41703,2019136391232,415756.0,435396.0,-1.762187,53.814627,13,2,1,1,09/03/2019,7,16:30,200,E08000032,3,6037,3,40,3,2,6,0,0,4,1,1,1,0,0,1,1,E01010824
41706,20191363A0265,416505.0,433777.0,-1.7508970000000001,53.800052,13,2,1,1,10/03/2019,1,02:45,200,E08000032,3,6181,3,30,0,-1,-1,0,0,4,4,5,2,0,0,1,1,E01033693
41710,20191363A1097,407885.0,435884.0,-1.881716,53.819189,13,3,1,1,10/03/2019,1,15:54,200,E08000032,4,6144,6,30,3,4,6,0,0,0,1,1,4,0,0,2,1,E01010590
41712,20191363A1533,413555.0,434350.0,-1.7956599999999998,53.805287,13,3,2,4,10/03/2019,1,20:25,200,E08000032,6,0,1,30,1,4,6,0,0,0,4,2,2,0,0,1,1,E01010810
41715,20191363B0127,411534.0,437773.0,-1.8262189999999998,53.8361,13,3,1,1,11/03/2019,2,05:45,200,E08000032,6,0,6,20,0,-1,-1,0,0,0,7,2,2,0,0,1,1,E01010596
41716,20191363B0235,416813.0,436690.0,-1.7460630000000001,53.826223999999996,13,3,2,1,11/03/2019,2,08:13,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01010603
41719,20191363B0472,414834.0,438112.0,-1.776059,53.839064,13,3,2,3,11/03/2019,2,11:05,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010571
41720,20191363B0606,413348.0,431525.0,-1.7989240000000002,53.779901,13,3,2,1,07/03/2019,5,17:00,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010662
41722,20191363B1046,407001.0,441971.0,-1.8950069999999999,53.873911,13,2,1,1,11/03/2019,2,15:29,200,E08000032,4,6265,6,40,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01010700
41729,20191363C0591,412596.0,430511.0,-1.8103770000000001,53.77080600000001,13,3,2,1,12/03/2019,3,11:47,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01033695
41732,20191363C1196,405505.0,439432.0,-1.917805,53.851107999999996,13,3,2,1,12/03/2019,3,08:45,200,E08000032,3,629,6,30,0,-1,-1,0,0,0,1,5,2,0,0,1,2,E01010716
41743,20191363D0905,415100.0,437624.0,-1.772041,53.83467099999999,13,3,1,1,13/03/2019,4,09:30,200,E08000032,6,0,6,30,3,2,3,657,0,0,1,1,1,0,0,1,2,E01033689
41749,20191363D1257,409322.0,436267.0,-1.859877,53.822607999999995,13,3,2,1,13/03/2019,4,17:10,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,5,2,0,0,2,2,E01010593
41754,20191363D1660,415809.0,430651.0,-1.761623,53.771978000000004,13,3,2,2,13/03/2019,4,20:22,200,E08000032,3,641,3,30,6,2,3,6177,0,0,4,2,2,0,0,1,2,E01010745
41755,20191363D1667,419140.0,431208.0,-1.71105,53.776872999999995,13,3,1,1,13/03/2019,4,15:30,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01010819
41757,20191363E0050,417007.0,429290.0,-1.7435209999999999,53.759707999999996,13,3,2,1,14/03/2019,5,01:00,200,E08000032,1,606,3,70,0,-1,-1,0,0,0,4,5,2,0,2,1,1,E01010818
41758,20191363E0281,419025.0,430265.0,-1.712853,53.768402,13,3,2,1,14/03/2019,5,07:54,200,E08000032,3,650,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010814
41767,20191363E1291,417007.0,433001.0,-1.743318,53.793062,13,3,2,2,14/03/2019,5,16:49,200,E08000032,6,0,3,30,6,2,6,0,0,0,1,1,1,0,0,1,1,E01010613
41772,20191363F0380,411923.0,436879.0,-1.820343,53.828056999999994,13,3,2,1,15/03/2019,6,08:45,200,E08000032,4,6146,1,20,1,4,4,6146,0,0,1,1,1,0,0,1,2,E01010587
41776,20191363F0799,418846.0,436811.0,-1.7151720000000001,53.827242000000005,13,3,2,2,15/03/2019,6,12:30,200,E08000032,3,658,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010689
41782,20191363F1887,415444.0,430869.0,-1.76715,53.773948,13,3,2,1,15/03/2019,6,,200,E08000032,6,0,6,30,9,4,2,6177,0,0,4,2,2,0,0,1,1,E01010740
41786,20191363G0885,411362.0,436237.0,-1.828889,53.822299,13,3,2,1,16/03/2019,7,13:36,200,E08000032,6,0,6,50,6,4,4,6146,0,0,1,2,2,0,0,2,1,E01010587
41787,20191363G0929,412128.0,430685.0,-1.8174700000000001,53.772381,13,3,2,1,16/03/2019,7,13:15,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01033696
41793,20191363G1910,410599.0,439408.0,-1.8403720000000001,53.850815000000004,13,3,2,1,16/03/2019,7,23:00,200,E08000032,4,6265,6,30,6,2,6,0,2,5,4,1,1,0,0,1,1,E01010578
41798,20191363H0936,416435.0,433623.0,-1.751968,53.798669999999994,13,3,2,1,17/03/2019,1,14:13,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01033693
41806,20191363I1545,408659.0,438041.0,-1.8698990000000002,53.838564,13,3,1,1,18/03/2019,2,18:15,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01010586
41809,20191363J1156,414490.0,437023.0,-1.781338,53.829285999999996,13,3,2,1,19/03/2019,3,15:55,200,E08000032,3,650,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010787
41811,20191363J1894,417364.0,432958.0,-1.737901,53.792663,13,2,2,1,19/03/2019,3,21:35,200,E08000032,3,647,6,30,6,4,6,0,0,4,4,1,1,0,0,1,1,E01010606
41813,20191363J1997,406712.0,449790.0,-1.8992349999999998,53.94419,13,3,1,1,19/03/2019,3,22:45,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01010648
41827,20191363K1492,406942.0,440275.0,-1.8959419999999998,53.85866800000001,13,3,1,1,20/03/2019,4,17:47,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010704
41838,20191363M0447,413828.0,432837.0,-1.791582,53.791681000000004,13,3,2,1,21/03/2019,5,17:30,200,E08000032,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,2,E01010658
41848,20191363N0786,412918.0,435457.0,-1.8052860000000002,53.815252,13,3,3,1,23/03/2019,7,12:12,200,E08000032,6,0,6,30,1,4,4,6144,0,0,1,1,1,0,0,1,1,E01010671
41854,20191363N2107,408011.0,432579.0,-1.8798869999999999,53.789483,13,3,1,1,23/03/2019,7,23:01,200,E08000032,6,0,6,40,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01010795
41856,20191363O0168,418065.0,433579.0,-1.727224,53.798221,13,3,3,1,24/03/2019,1,01:22,200,E08000032,4,6381,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010622
41858,20191363O0813,406457.0,441252.0,-1.9032959999999999,53.867456000000004,13,3,1,1,20/02/2019,4,12:05,200,E08000032,3,6035,6,30,3,2,6,0,0,5,1,1,1,0,0,1,1,E01010710
41861,20191363O2024,416671.0,430298.0,-1.748563,53.768778000000005,13,3,2,2,24/03/2019,1,22:45,200,E08000032,3,6177,1,30,1,2,3,6177,0,5,4,1,2,0,0,1,2,E01010616
41866,20191363P0892,416331.0,438732.0,-1.753278,53.844592000000006,13,3,2,1,25/03/2019,2,13:48,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010568
41867,20191363P0923,412033.0,447647.0,-1.818254,53.924834,13,3,2,1,25/03/2019,2,14:05,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010695
41870,20191363P1658,414399.0,435301.0,-1.7828,53.813812,13,3,2,1,25/03/2019,2,19:07,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010670
41873,20191363P2073,410400.0,430255.0,-1.843702,53.768553000000004,13,2,3,1,25/03/2019,2,22:30,200,E08000032,3,644,6,30,6,2,6,0,0,0,4,1,1,0,0,1,1,E01010752
41875,20191363Q0318,414151.0,437779.0,-1.7864529999999998,53.836090000000006,13,3,2,1,26/03/2019,3,08:30,200,E08000032,3,657,6,20,3,4,6,0,0,0,1,1,1,0,0,1,1,E01033694
41885,20191363R1082,414803.0,434616.0,-1.7766970000000002,53.807643999999996,13,3,1,1,27/03/2019,4,15:43,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010840
41887,20191363R1179,414488.0,428870.0,-1.7817479999999999,53.756007999999994,13,3,1,1,27/03/2019,4,16:30,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01010867
41889,20191363R1410,417541.0,427911.0,-1.7354990000000001,53.747296,13,3,3,2,27/03/2019,4,18:24,200,E08000032,6,0,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01010818
41895,20191363S0395,415077.0,430126.0,-1.7727540000000002,53.76728000000001,13,3,1,1,28/03/2019,5,09:00,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010847
41896,20191363S0502,413317.0,447917.0,-1.7986900000000001,53.92723,13,3,2,1,28/03/2019,5,10:27,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010699
41904,20191363S1720,416026.0,432553.0,-1.758232,53.789066000000005,13,3,1,1,28/03/2019,5,20:30,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010731
41905,20191363T0003,415441.0,432617.0,-1.7671080000000001,53.78965899999999,13,3,1,1,29/03/2019,6,00:03,200,E08000032,6,0,6,30,3,4,6,0,0,0,5,1,1,0,0,1,1,E01010834
41906,20191363T0278,410314.0,430312.0,-1.845005,53.76906700000001,13,3,2,1,29/03/2019,6,07:10,200,E08000032,3,644,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01010752
41918,20191363U0614,411693.0,447798.0,-1.8234259999999998,53.926199,13,3,2,1,30/03/2019,7,10:50,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010695
41929,20191363V0543,404004.0,445712.0,-1.9405419999999998,53.907565000000005,13,3,2,2,02/03/2019,7,10:56,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01010639
41930,20191363V0565,410595.0,429233.0,-1.8407790000000002,53.759363,13,3,2,1,11/03/2019,2,00:15,200,E08000032,6,0,6,30,3,4,6,0,0,0,6,1,1,0,0,2,2,E01010759
41933,2019136411131,413592.0,429338.0,-1.7953169999999998,53.760238,13,3,2,1,01/04/2019,2,16:24,200,E08000032,6,0,6,30,9,4,6,0,0,0,1,1,1,0,0,1,1,E01010850
41935,2019136420434,418877.0,437368.0,-1.7146669999999997,53.832246999999995,13,3,2,1,29/03/2019,6,07:30,200,E08000032,3,657,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01010682
41936,2019136420646,413672.0,429805.0,-1.794083,53.764433999999994,13,3,1,1,02/04/2019,3,15:05,200,E08000032,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010846
41949,2019136431379,415999.0,431728.0,-1.7586849999999998,53.781652,13,2,1,1,03/04/2019,4,17:54,200,E08000032,3,641,3,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01010732
41953,2019136440548,404959.0,441130.0,-1.926078,53.866375,13,3,1,1,04/04/2019,5,10:45,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010720
41954,2019136440607,419073.0,430248.0,-1.7121259999999998,53.768246999999995,13,3,3,1,04/04/2019,5,11:30,200,E08000032,3,650,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010814
41957,2019136441327,417123.0,433064.0,-1.741554,53.793624,13,3,2,3,04/04/2019,5,17:15,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010606
41973,2019136461152,416325.0,434361.0,-1.7535990000000001,53.80530699999999,13,3,3,1,06/04/2019,7,15:25,200,E08000032,3,6037,3,40,3,2,6,0,0,5,1,1,1,0,0,1,1,E01033693
41978,2019136461996,415360.0,426744.0,-1.7686279999999999,53.736875,13,3,2,1,06/04/2019,7,21:55,200,E08000032,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01010872
41979,2019136462168,415260.0,427134.0,-1.770125,53.740382999999994,13,3,2,2,06/04/2019,7,23:15,200,E08000032,3,641,6,30,3,4,4,6379,0,0,4,1,1,0,0,1,1,E01010871
41982,2019136471003,414022.0,431400.0,-1.788702,53.77876,13,3,2,3,07/04/2019,1,15:05,200,E08000032,3,647,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010663
41983,2019136471300,413843.0,430969.0,-1.791437,53.774891000000004,13,3,2,1,07/04/2019,1,17:38,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010665
41987,2019136480090,416344.0,430381.0,-1.75352,53.769534,13,2,2,1,08/04/2019,2,01:56,200,E08000032,3,6177,3,30,3,2,6,0,0,5,4,1,1,0,0,1,1,E01010747
41988,2019136480205,402561.0,445203.0,-1.9625110000000001,53.902999,13,3,2,1,08/04/2019,2,06:07,200,E08000032,3,629,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01010645
41991,2019136481073,417622.0,434489.0,-1.733898,53.806415,13,3,2,1,08/04/2019,2,14:15,200,E08000032,3,658,6,30,0,-1,-1,0,1,8,1,1,1,0,0,1,1,E01010831
42000,2019136491639,416769.0,435481.0,-1.7467970000000002,53.815358999999994,13,3,2,2,09/04/2019,3,12:55,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01010600
42008,20191364A1570,413684.0,437986.0,-1.7935400000000001,53.837963,13,3,3,1,10/04/2019,4,19:54,200,E08000032,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01010784
42009,20191364B0205,416577.0,430228.0,-1.7499930000000001,53.768152,13,3,2,1,11/04/2019,5,05:30,200,E08000032,6,0,6,30,3,2,6,0,0,0,1,1,1,0,0,1,1,E01010746
42015,20191364B0592,406996.0,433947.0,-1.8952630000000001,53.801792000000006,13,2,2,1,11/04/2019,5,11:50,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01010595
42018,20191364B1065,416548.0,431564.0,-1.750362,53.780161,13,3,2,5,11/04/2019,5,15:39,200,E08000032,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01010736
42022,20191364B2077,417364.0,432958.0,-1.737901,53.792663,13,2,2,1,11/04/2019,5,23:45,200,E08000032,3,647,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01010606
42025,20191364C0881,414807.0,434701.0,-1.7766330000000001,53.80840799999999,13,2,2,1,12/04/2019,6,13:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01010676
42026,20191364C1076,414504.0,433645.0,-1.7812830000000002,53.798925,13,3,2,1,12/04/2019,6,14:40,200,E08000032,4,6145,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010812
42031,20191364C1846,416061.0,434155.0,-1.7576189999999998,53.803463,13,3,2,2,12/04/2019,6,20:17,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01033693
42034,20191364C2107,416402.0,434183.0,-1.7524400000000002,53.803704,13,3,2,2,12/04/2019,6,22:30,200,E08000032,6,0,2,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010830
42041,20191364D1175,415097.0,434389.0,-1.772244,53.805595,13,3,1,1,13/04/2019,7,15:30,200,E08000032,3,6177,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01010679
42042,20191364D1288,417363.0,434109.0,-1.737852,53.803008,13,3,3,3,13/04/2019,7,16:20,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010829
42050,20191364E1919,415137.0,431067.0,-1.771798,53.775736,13,3,1,2,14/04/2019,1,23:33,200,E08000032,3,6177,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010852
42063,20191364G1067,416794.0,432695.0,-1.7465680000000001,53.790318000000006,13,3,2,3,16/04/2019,3,15:05,200,E08000032,3,650,3,40,6,2,6,0,0,0,1,1,1,0,0,1,1,E01010613
42073,20191364H1357,413728.0,430830.0,-1.793188,53.773644999999995,13,3,3,1,17/04/2019,4,17:43,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010665
42075,20191364H2044,405615.0,440116.0,-1.916121,53.857255,13,3,2,1,17/04/2019,4,23:05,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010714
42079,20191364I0671,418115.0,430780.0,-1.7266279999999998,53.773063,13,3,2,1,18/04/2019,5,12:16,200,E08000032,6,0,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010615
42089,20191364I2065,417738.0,430549.0,-1.732362,53.770998999999996,13,3,2,2,18/04/2019,5,22:25,200,E08000032,6,0,1,40,1,2,6,0,0,5,4,1,1,0,0,1,1,E01010815
42090,20191364J0604,415738.0,430314.0,-1.7627169999999999,53.768951,13,3,2,1,19/04/2019,6,11:44,200,E08000032,3,641,3,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010745
42101,20191364K0829,406311.0,441307.0,-1.905515,53.867952,13,3,1,1,20/04/2019,7,12:30,200,E08000032,6,0,6,30,0,-1,-1,0,0,8,1,1,1,0,0,1,1,E01010710
42104,20191364K1425,415987.0,433759.0,-1.758762,53.79990600000001,13,3,2,2,20/04/2019,7,16:30,200,E08000032,3,650,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01033691
42110,20191364L1015,410274.0,442306.0,-1.8452169999999999,53.876868,13,3,2,1,21/04/2019,1,14:29,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010706
42114,20191364L1718,415161.0,432872.0,-1.7713459999999999,53.791959,13,3,2,2,21/04/2019,1,19:41,200,E08000032,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01010834
42118,20191364M0391,416560.0,433775.0,-1.750062,53.800031999999995,13,3,2,1,22/04/2019,2,07:31,200,E08000032,6,0,6,30,6,2,6,0,2,4,1,1,1,0,0,1,1,E01033693
42119,20191364M0530,418371.0,430698.0,-1.722749,53.772317,13,3,2,1,22/04/2019,2,15:45,200,E08000032,6,0,6,40,6,2,3,650,2,5,1,1,1,0,0,1,2,E01010614
42135,20191364N1810,414052.0,432255.0,-1.7882080000000002,53.786443999999996,13,2,1,1,23/04/2019,3,21:30,200,E08000032,6,0,6,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,E01033697
42138,20191364O0771,415580.0,427562.0,-1.765252,53.744220999999996,13,2,1,1,24/04/2019,4,13:14,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010869
42148,20191364P1715,415814.0,433456.0,-1.7614040000000002,53.797188,13,2,1,1,25/04/2019,5,21:00,200,E08000032,4,6144,6,30,9,4,6,0,0,5,1,1,1,0,0,1,1,E01033691
42168,20191364R0892,414592.0,433633.0,-1.7799470000000002,53.798814,13,3,4,1,27/04/2019,7,14:51,200,E08000032,4,6145,6,30,9,4,6,0,0,0,1,2,2,0,0,1,1,E01010812
42170,20191364R1473,415023.0,432912.0,-1.773439,53.792322,13,3,2,1,27/04/2019,7,19:07,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01010836
