,Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
41284,20191361Q0285,416168.0,432840.0,-1.7560619999999998,53.791641000000006,13,2,1,1,26/01/2019,7,04:07,200,E08000032,6,0,3,30,3,2,6,0,0,0,4,1,2,0,0,1,1,E01010834
41287,20191361Q1093,417897.0,436523.0,-1.7296049999999998,53.824687,13,2,1,1,26/01/2019,7,15:10,200,E08000032,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010655
41290,20191361Q1770,417642.0,433217.0,-1.7336669999999998,53.794982,13,3,1,1,26/01/2019,7,21:25,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010606
41298,20191361R1085,414673.0,432035.0,-1.778793,53.78445,13,3,2,1,27/01/2019,1,15:06,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010838
41299,20191361R1242,414536.0,432656.0,-1.780843,53.790034999999996,13,3,1,1,27/01/2019,1,16:19,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010833
41301,20191361R1391,406337.0,435709.0,-1.9052330000000002,53.817637,13,3,2,3,27/01/2019,1,17:47,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01010590
41302,20191361R1401,415443.0,432616.0,-1.767078,53.78965,13,3,1,1,27/01/2019,1,17:55,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010834
41311,20191361S1383,406041.0,441134.0,-1.9096240000000002,53.8664,13,3,3,2,28/01/2019,2,17:40,200,E08000032,3,629,6,30,0,-1,-1,0,0,1,4,1,1,0,0,1,1,E01010710
41321,20191361T1124,405954.0,442265.0,-1.910926,53.876566000000004,13,3,2,1,29/01/2019,3,16:00,200,E08000032,4,6265,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010728
41328,20191361U0936,410546.0,430327.0,-1.8414849999999998,53.769197,13,2,1,1,30/01/2019,4,15:24,200,E08000032,3,647,6,30,0,-1,-1,0,0,1,1,1,2,0,0,1,1,E01010756
41334,20191361V0233,412979.0,436718.0,-1.8043060000000002,53.826584999999994,13,3,1,1,31/01/2019,5,08:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,4,0,0,2,1,E01010790
41337,20191361V1101,414547.0,429334.0,-1.780832,53.760177,13,3,2,1,31/01/2019,5,16:00,200,E08000032,3,6036,6,30,3,4,6,0,0,0,1,7,2,0,0,1,1,E01010849
41339,20191361V1420,417465.0,432944.0,-1.7363689999999998,53.792533999999996,13,3,1,1,31/01/2019,5,18:36,200,E08000032,3,647,6,30,0,-1,-1,0,0,0,4,7,2,0,0,1,1,E01010606
41341,2019136210374,413941.0,434392.0,-1.789797,53.805654000000004,13,2,1,1,01/02/2019,6,09:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,4,0,0,1,1,E01010809
41346,2019136211389,402913.0,444504.0,-1.9571599999999998,53.896715,13,3,2,1,01/02/2019,6,17:45,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010645
41353,2019136220607,409796.0,432779.0,-1.852787,53.79125,13,2,3,1,02/02/2019,7,11:02,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,4,0,0,1,1,E01010798
